Search term,Cost,Total conv. value,Conversions,Clicks,Impressions,Conv. value / cost,CTR,Avg. CPC,Avg. position,Cost / conv.,Conv. rate
lightning cable,0.3,22.15,1,2,24,73.83,0.08,0.15,0,0.3,0.5
lightning cable,0.01,0,0,1,14,0,0.07,0.01,0,0,0
steel braided micro usb cable,0.1,0,0,1,2,0,0.5,0.1,0,0,0
strong android charger,0.2,0,0,1,4,0,0.25,0.2,0,0,0
mos spring lightning cable aluminum heads with spring relief deep grey 6 ft,0.05,25.47,1,2,3,509.4,0.67,0.02,0,0.05,0.5
durable aux cable,0.13,0,0,1,6,0,0.17,0.13,0,0,0
mos spring chargers,0.01,0,0,1,3,0,0.33,0.01,0,0,0
mos magnetic cable organizer,0.07,10.58,1,1,11,151.14,0.09,0.07,0,0.07,1
mos sprong micro charger,0.02,15.97,1,1,1,798.5,1,0.02,0,0.02,1
indestructible micro usb,0.2,0,0,1,14,0,0.07,0.2,0,0,0
aluminum 10ft charger,0.14,0,0,1,1,0,1,0.14,0,0,0
mos spring 6 foot charger,0.01,0,0,1,1,0,1,0.01,0,0,0
cable lightning,0,0,0,0,2,0,0,0,0,0,0
sewell phone chargers,0.01,20.86,1,1,1,2086,1,0.01,0,0.01,1
high quality aux cable,0.19,0,0,1,29,0,0.03,0.19,0,0,0
indestructible android charger,0.43,0,0,3,62,0,0.05,0.14,0,0,0
10 foot metal micro usb cable,0.17,0,0,1,1,0,1,0.17,0,0,0
unbreakable iphone 5 chargers,0.14,0,0,1,1,0,1,0.14,0,0,0
high quality aux cord,0.36,0,0,2,133,0,0.02,0.18,0,0,0
unbreakable metal iphone charger 10ft,0.09,0,0,1,3,0,0.33,0.09,0,0,0
mos spring lightning cable white,0.01,0,0,1,1,0,1,0.01,0,0,0
sewell sw 30550 6w,0.01,23,1,1,1,2300,1,0.01,0,0.01,1
indestructable micro usb to usb cable,0.11,55.27,1,1,1,502.45,1,0.11,0,0.11,1
best quality 10 ft phone charger,0.2,0,0,1,2,0,0.5,0.2,0,0,0
most durable aux cable,0.18,0,0,1,23,0,0.04,0.18,0,0,0
heavy duty phone charger,0.51,0,0,3,64,0,0.05,0.17,0,0,0
